label,message
ham,Hey are we still meeting today?
ham,Can you call me when you arrive?
ham,Don't forget to bring the documents
ham,I'll text you later tonight
ham,Are you coming to the party?
ham,Please send me the report by tomorrow
ham,Let's grab lunch at 2 pm
ham,Did you finish the assignment?
ham,I'm outside your house
ham,See you soon
spam,WIN a FREE iPhone now!!! Click here to claim
spam,Congratulations you have won a $1000 gift card
spam,URGENT! Your account has been selected for a prize
spam,Free entry in a weekly competition, text WIN now
spam,You have been chosen for a cash reward
spam,Claim your free vacation now call 1800-123-456
spam,Get cheap loans instantly apply now
spam,Exclusive offer just for you click now
spam,You won a lottery reply YES to claim
spam,Act now to receive your free bonus
spam,Limited time offer buy now and save big
spam,Winner! You have been selected for a prize
spam,Get rich quick with this simple trick
spam,Earn money from home no experience needed
spam,This is not a scam you have won money
ham,Can you send me the notes from class?
ham,Where are you right now?
ham,I'll be late today sorry
ham,Thanks for your help earlier
ham,Let's meet at the cafe at 6
ham,Call me when you're free
ham,Happy birthday hope you have a great day
ham,What time is the meeting tomorrow?
ham,I'm on my way
ham,Text me when you get this
